source_file,source_sheet,project_ean,solicitation_no,letting_date,bid_schedule_type,bid_schedule_code,bidder_name_raw,bidder_name_canonical,bidder_type,schedule_total,sum_line_total_price,sum_line_total_price_calc,delta_total_price,delta_total_price_calc,delta_abs,delta_pct,line_item_count,missing_total_price_count,missing_unit_price_count,tolerance_amount_used,tolerance_pct_used,suspected_root_cause
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,10205253.0,1110601.0,1110601.0,-9094652.0,-9094652.0,9094652.0,0.8911735946183794,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,CONTRACTOR,10938063.83,1018239.6699999999,1018239.6699999999,-9919824.16,-9919824.16,9919824.16,0.9069086004776039,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,"K & E Excavating, Inc.",K & E EXCAVATING INC.,CONTRACTOR,10406032.75,1095921.75,1095921.75,-9310111.0,-9310111.0,9310111.0,0.8946839995290232,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,12340448.25,1218247.25,1218247.25,-11122201.0,-11122201.0,11122201.0,0.901280145962283,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,"Lakeside Industries, Inc.",LAKESIDE INDUSTRIES INC.,CONTRACTOR,10580625.5,967073.0,967073.0,-9613552.5,-9613552.5,9613552.5,0.9085996380837787,21,0,0,5.0,0.02,OTHER
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,,16044599.75,16044599.75,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,CONTRACTOR,,18996299.0,18996299.0,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,,17412805.5,17412805.5,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,,18207364.25,18207364.25,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,,21121275.85,21121275.85,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Nutter Corp.,NUTTER CORP.,CONTRACTOR,,16750780.969999999,16750780.969999999,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Wildish Standard Paving Co.,WILDISH STANDARD PAVING CO.,CONTRACTOR,,17797411.0,17797411.0,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,,8231.25,8231.25,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,CONTRACTOR,,22780.0,22780.0,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,,3332.5,3332.5,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,,3918.75,3918.75,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,,0.0,0.0,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,Nutter Corp.,NUTTER CORP.,CONTRACTOR,,2940.0,2940.0,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,BASE,,Wildish Standard Paving Co.,WILDISH STANDARD PAVING CO.,CONTRACTOR,,6060.0,6060.0,,,,,16,12,0,5.0,0.02,TOTALS_SCOPE
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,7288775.5,3037931.5,3037931.5,-4250844.0,-4250844.0,4250844.0,0.5832041335338151,49,0,0,5.0,0.02,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,"Goodfellow Bros., Inc.",GOODFELLOW BROS INC.,CONTRACTOR,7879592.0,3896261.0,3896261.0,-3983331.0,-3983331.0,3983331.0,0.5055250322605536,49,0,0,5.0,0.02,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,6735551.0,3401006.0,3401006.0,-3334545.0,-3334545.0,3334545.0,0.49506640213992886,49,0,0,5.0,0.02,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,8217086.25,4264424.75,4264424.75,-3952661.5,-3952661.5,3952661.5,0.48102957419973535,49,0,0,5.0,0.02,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,6693693.0,3040193.0,3040193.0,-3653500.0,-3653500.0,3653500.0,0.5458123042093505,49,0,0,5.0,0.02,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,7837521.22,3415241.2199999997,3415241.2199999997,-4422280.0,-4422280.0,4422280.0,0.5642447243032792,49,0,0,5.0,0.02,OTHER
PDX_2021D007 Bid Tab.xlsx,Bid Tab Schedule 2,2021D007,2022-9477,2023-01-30,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,474648.15,18200.0,18200.0,-456448.15,-456448.15,456448.15,0.9616558075703023,1,0,0,5.0,0.02,OTHER
PDX_2021D007 Bid Tab.xlsx,Bid Tab Schedule 2,2021D007,2022-9477,2023-01-30,BASE,,Fortis Construction Inc.,FORTIS CONSTRUCTION INC.,CONTRACTOR,464806.2,10972.0,10972.0,-453834.2,-453834.2,453834.2,0.9763944628965793,1,0,0,5.0,0.02,OTHER
PDX_2021D007 Bid Tab.xlsx,Bid Tab Schedule 2,2021D007,2022-9477,2023-01-30,BASE,,Inline Commercial Construction Inc.,INLINE COMMERCIAL CONSTRUCTION INC.,CONTRACTOR,907390.1936,23676.0,23676.0,-883714.1936,-883714.1936,883714.1936,0.9739075866512649,1,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,Coffman Excavation,COFFMAN EXCAVATION,CONTRACTOR,10027274.25,402928.0,402928.0,-9624346.25,-9624346.25,9624346.25,0.9598167966733332,11,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,11693605.75,483561.5,483561.5,-11210044.25,-11210044.25,11210044.25,0.9586473573388602,11,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,CONTRACTOR,10695258.719999997,417263.04000000004,417263.04000000004,-10277995.679999996,-10277995.679999996,10277995.679999996,0.9609861667750286,11,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,10015432.05,445607.5,445607.5,-9569824.55,-9569824.55,9569824.55,0.9555079104151079,11,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,"Kerr Contractors Oregon, LLC",KERR CONTRACTORS OREGON LLC,CONTRACTOR,9649950.899999999,364091.75,364091.75,-9285859.149999999,-9285859.149999999,9285859.149999999,0.9622700930011986,11,0,0,5.0,0.02,OTHER
PDX_2023D011.xlsx,Alternate Bid Tabulation,2023D011,2023-10218,2025-01-14,ALTERNATE,ALT_BID,"Tapani, Inc.",TAPANI INC.,CONTRACTOR,9419765.0,428765.0,428765.0,-8991000.0,-8991000.0,8991000.0,0.9544824101238194,11,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,7882978.0,268712.5,268712.5,-7614265.5,-7614265.5,7614265.5,0.965912311311791,9,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,7666817.4,218040.4,218040.4,-7448777.0,-7448777.0,7448777.0,0.9715605069712498,9,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,"Kerr Contractors Oregon, LLC",KERR CONTRACTORS OREGON LLC,CONTRACTOR,6297839.55,168668.55,168668.55,-6129171.0,-6129171.0,6129171.0,0.9732180299829963,9,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,6799156.0,211109.0,211109.0,-6588047.0,-6588047.0,6588047.0,0.9689507050580984,9,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,Tapani Inc.,TAPANI INC.,CONTRACTOR,6956929.25,332136.25,332136.25,-6624793.0,-6624793.0,6624793.0,0.9522582107615942,9,0,0,5.0,0.02,OTHER
PDX_2023D016.xlsx,Alternate Bid Tabulation,2023D016,2025-12566,2025-12-19,ALTERNATE,ALT_BID,Western United Civil Group LLC,WESTERN UNITED CIVIL GROUP LLC,CONTRACTOR,6774984.25,237385.25,237385.25,-6537599.0,-6537599.0,6537599.0,0.964961505261064,9,0,0,5.0,0.02,OTHER
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,8356606.25,3795745.75,3795745.75,-4560860.5,-4560860.5,4560860.5,0.5457790355983327,43,0,0,5.0,0.02,OTHER
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,10177155.3,4832397.5,4832397.5,-5344757.800000001,-5344757.800000001,5344757.800000001,0.5251720782918583,43,0,0,5.0,0.02,OTHER
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,9093272.7,4509067.7,4498267.7,-4584204.999999999,-4595004.999999999,4584204.999999999,0.504131477328289,43,0,1,5.0,0.02,PLACEHOLDERS
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,10558558.0,4770589.0,4770589.0,-5787969.0,-5787969.0,5787969.0,0.5481779803643642,43,0,0,5.0,0.02,OTHER
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,9596902.22,4533024.0,4533024.0,-5063878.220000001,-5063878.220000001,5063878.220000001,0.5276575819900351,43,0,0,5.0,0.02,OTHER
Taxiway T Bid Tab.xlsx,Bid Tab Schedule B,2018D027,2019-8247,2020-01-16,BASE,,"Tapani, Inc.",TAPANI INC.,CONTRACTOR,8588438.0,4115162.5,4115162.5,-4473275.5,-4473275.5,4473275.5,0.5208485524375911,43,0,0,5.0,0.02,OTHER
